Date,Post_ID,Media_Type,Caption,Likes,Comments,Saves,Reach,Impressions,Follower_Count,Engagement_Rate(%)
06-07-2025,P067,Carousel_Album,Post about #vibes,640,44,73,2426,3758,41254,1.66
07-07-2025,P068,Carousel_Album,Post about #fashion,212,79,18,4342,4834,41072,0.71
08-07-2025,P069,Video,Post about #bts,201,42,16,3026,3874,41360,0.59
09-07-2025,P070,Video,Post about #launch,875,32,38,3113,3244,41173,2.2
10-07-2025,P071,Carousel_Album,Post about #bts,423,20,68,4340,5784,41190,1.08
11-07-2025,P072,Video,Post about #newdrop,118,57,56,2347,3772,41207,0.42
12-07-2025,P073,Image,Post about #vibes,327,52,30,1643,2483,41368,0.92
13-07-2025,P074,Video,Post about #vibes,845,42,79,3224,4477,41314,2.15
14-07-2025,P075,Carousel_Album,Post about #vibes,201,45,28,4407,5794,40740,0.6
15-07-2025,P076,Carousel_Album,Post about #fashion,497,23,71,3521,4434,41125,1.26
16-07-2025,P077,Carousel_Album,Post about #fashion,208,38,25,1590,3074,40912,0.6
17-07-2025,P078,Image,Post about #launch,538,81,71,4401,5794,41155,1.5
18-07-2025,P079,Image,Post about #fashion,715,42,39,935,1982,41326,1.83
19-07-2025,P080,Video,Post about #bts,939,16,43,2630,3996,41501,2.3
20-07-2025,P081,Video,Post about #bts,314,69,41,1773,2305,41280,0.93
21-07-2025,P082,Image,Post about #summer,641,20,27,4945,5258,40972,1.61
22-07-2025,P083,Carousel_Album,Post about #newdrop,408,52,56,2487,3005,41476,1.11
23-07-2025,P084,Video,Post about #discount,773,82,24,3954,5085,41577,2.06
24-07-2025,P085,Image,Post about #summer,156,89,47,4396,4924,41260,0.59
25-07-2025,P086,Carousel_Album,Post about #newdrop,764,89,71,1600,2538,41700,2.05
26-07-2025,P087,Image,Post about #newdrop,214,30,6,3683,5148,40946,0.6
27-07-2025,P088,Image,Post about #vibes,119,72,77,2404,3128,41131,0.46
28-07-2025,P089,Image,Post about #launch,857,73,72,2738,3435,41408,2.25
29-07-2025,P090,Video,Post about #launch,996,36,40,4309,5051,41335,2.5
30-07-2025,P091,Carousel_Album,Post about #summer,370,19,79,1241,1595,41530,0.94
31-07-2025,P092,Image,Post about #fashion,243,28,80,1334,2200,41001,0.66
01-08-2025,P093,Video,Post about #discount,708,37,29,2044,2822,41012,1.82
02-08-2025,P094,Carousel_Album,Post about #summer,370,23,30,1758,2773,41860,0.94
03-08-2025,P095,Carousel_Album,Post about #summer,140,67,75,4610,4887,41504,0.5
04-08-2025,P096,Carousel_Album,Post about #discount,757,70,6,4936,5727,41615,1.99
05-08-2025,P097,Image,Post about #vibes,157,59,25,4932,5355,41056,0.53
06-08-2025,P098,Video,Post about #summer,744,98,70,4255,4407,41358,2.04
07-08-2025,P099,Carousel_Album,Post about #vibes,117,80,23,1949,3022,41078,0.48
08-08-2025,P100,Image,Post about #discount,993,89,64,1166,1840,41881,2.58
